"url","user_sid","Year","MakeModel1","MakeModel2","Trim","BodyStyle","StockNumber","Vin","Kilometers","Price","MSRP","SpecialPrice","WholesalePrice","PurchasedFrom","Transmission","ExteriorColor","InteriorColor","SellerComments","VehicleOptions","pictures","Engine","DriveType","Doors","Passengers","FuelType","EngineSize","Height","Length","CityFuelEconomy","HwyFuelEconomy","Sold","WebsiteFeaturedAd","Condition","vMake","vModel","Address","City","Location","Postcode","SellerType","first_activation_date"
,"","2016","Audi","Q5","","","122844","WA1M2AFP7GA122844","103922","","","","","","Automatic","White","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16428452/WA1M2AFP7GA122844_122844_2016_Audi_Q5_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16428452/WA1M2AFP7GA122844_122844_2016_Audi_Q5_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16428452/WA1M2AFP7GA122844_122844_2016_Audi_Q5_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16428452/WA1M2AFP7GA122844_122844_2016_Audi_Q5_USED-04_800600.jpg","2.0L 220.0hp","AWD","4 Doors","","Gasoline","","","","","","","","Used","Audi","Q5","","","","","Dealer",""
,"","2014","Audi","Q5","","","089918","WA1LMCFPXEA089918","123897","","","","","","Automatic","White","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688449/WA1LMCFPXEA089918_089918_2014_Audi_Q5_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688449/WA1LMCFPXEA089918_089918_2014_Audi_Q5_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688449/WA1LMCFPXEA089918_089918_2014_Audi_Q5_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688449/WA1LMCFPXEA089918_089918_2014_Audi_Q5_USED-04_800600.jpg","3.0L 240.0hp","AWD","4 Doors","","Diesel","","","","","","","","Used","Audi","Q5","","","","","Dealer",""
,"","2017","Chevrolet","Equinox","","","566266","2GNALCEK7H1566266","174692","","","","","","Automatic","Gray","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796919/2GNALCEK7H1566266_566266_2017_Chevrolet_Equinox_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796919/2GNALCEK7H1566266_566266_2017_Chevrolet_Equinox_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796919/2GNALCEK7H1566266_566266_2017_Chevrolet_Equinox_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796919/2GNALCEK7H1566266_566266_2017_Chevrolet_Equinox_USED-04_800600.jpg","2.4L","FWD","4 Doors","","Flex Fuel","","","","","","","","Used","Chevrolet","Equinox","","","","","Dealer",""
,"","2013","Mercedes-Benz","C-Class","","","791542","WDDGF8AB8DA791542","82577","","","","","","Automatic","Black","Cream","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688411/WDDGF8AB8DA791542_791542_2013_Mercedes-Benz_C-Class_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688411/WDDGF8AB8DA791542_791542_2013_Mercedes-Benz_C-Class_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688411/WDDGF8AB8DA791542_791542_2013_Mercedes-Benz_C-Class_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16688411/WDDGF8AB8DA791542_791542_2013_Mercedes-Benz_C-Class_USED-04_800600.jpg","3.5L 302.0hp","AWD","4 Doors","","Gasoline","","","","","","","","Used","Mercedes-Benz","C-Class","","","","","Dealer",""
,"","2014","Mercedes-Benz","E-Class","","","032301","WDDHF9HB0EB032301","112587","","","","","","Automatic","Black","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681929/WDDHF9HB0EB032301_032301_2014_Mercedes-Benz_E-Class_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681929/WDDHF9HB0EB032301_032301_2014_Mercedes-Benz_E-Class_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681929/WDDHF9HB0EB032301_032301_2014_Mercedes-Benz_E-Class_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681929/WDDHF9HB0EB032301_032301_2014_Mercedes-Benz_E-Class_USED-04_800600.jpg","2.1L 195.0hp","AWD","4 Doors","","Diesel","","","","","","","","Used","Mercedes-Benz","E-Class","","","","","Dealer",""
,"","2012","Toyota","Camry","","","077916","4T1BF1FK7CU077916","178229","","","","","","Automatic","Gray","Gray","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796778/4T1BF1FK7CU077916_077916_2012_Toyota_Camry_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796778/4T1BF1FK7CU077916_077916_2012_Toyota_Camry_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796778/4T1BF1FK7CU077916_077916_2012_Toyota_Camry_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796778/4T1BF1FK7CU077916_077916_2012_Toyota_Camry_USED-04_800600.jpg","2.5L 178.0hp","FWD","4 Doors","","Gasoline","","","","","","","","Used","Toyota","Camry","","","","","Dealer",""
,"","2019","Toyota","RAV4","","","018179","2T3D1RFV4KW018179","40213","","","","","","Automatic","Gray","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796912/2T3D1RFV4KW018179_018179_2019_Toyota_RAV4_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796912/2T3D1RFV4KW018179_018179_2019_Toyota_RAV4_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796912/2T3D1RFV4KW018179_018179_2019_Toyota_RAV4_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16796912/2T3D1RFV4KW018179_018179_2019_Toyota_RAV4_USED-04_800600.jpg","2.5L 203.0hp","AWD","4 Doors","","Gasoline","","","","","","","","Used","Toyota","RAV4","","","","","Dealer",""
,"","2013","Toyota","Sienna","","","371775","5TDXK3DC2DS371775","142229","","","","","","Automatic","White","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16777015/5TDXK3DC2DS371775_371775_2013_Toyota_Sienna_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16777015/5TDXK3DC2DS371775_371775_2013_Toyota_Sienna_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16777015/5TDXK3DC2DS371775_371775_2013_Toyota_Sienna_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16777015/5TDXK3DC2DS371775_371775_2013_Toyota_Sienna_USED-04_800600.jpg","3.5L 266.0hp","FWD","4 Doors","","Gasoline","","","","","","","","Used","Toyota","Sienna","","","","","Dealer",""
,"","2015","Volkswagen","Golf","","","016688","3VW2A7AU6FM016688","102109","","","","","","Automatic","Blue","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681947/3VW2A7AU6FM016688_016688_2015_Volkswagen_Golf_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681947/3VW2A7AU6FM016688_016688_2015_Volkswagen_Golf_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681947/3VW2A7AU6FM016688_016688_2015_Volkswagen_Golf_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16681947/3VW2A7AU6FM016688_016688_2015_Volkswagen_Golf_USED-04_800600.jpg","2.0L 150.0hp","FWD","4 Doors","","Diesel","","","","","","","","Used","Volkswagen","Golf","","","","","Dealer",""
,"","2015","Volkswagen","Golf","","","082488","3VW2A7AU9FM082488","131729","","","","","","Automatic","White","Black","","","https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16829315/3VW2A7AU9FM082488_082488_2015_Volkswagen_Golf_USED-01_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16829315/3VW2A7AU9FM082488_082488_2015_Volkswagen_Golf_USED-02_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16829315/3VW2A7AU9FM082488_082488_2015_Volkswagen_Golf_USED-03_800600.jpg;https://j3v8m9d3.stackpathcdn.com/photos/yPVmm5g/16829315/3VW2A7AU9FM082488_082488_2015_Volkswagen_Golf_USED-04_800600.jpg","2.0L 150.0hp","FWD","4 Doors","","Diesel","","","","","","","","Used","Volkswagen","Golf","","","","","Dealer",""
